BinaryName,ExecutionTime(ms)
Bellman-Ford_ARM32NoPeephole,13.965
Dijkstra_ARM32NoPeephole,13.884
Floyd-Warshall_ARM32NoPeephole,15.184
binarySortTree_ARM32NoPeephole,13.963
linked_list_ARM32NoPeephole,13.186
matrix_ARM32NoPeephole,14.877
Bellman-Ford_ARM32Peephole,14.015
Dijkstra_ARM32Peephole,14.068
Floyd-Warshall_ARM32Peephole,14.792
binarySortTree_ARM32Peephole,14.021
linked_list_ARM32Peephole,13.036
matrix_ARM32Peephole,14.605
Bellman-Ford_AArch64NoPeephole,14.555
Dijkstra_AArch64NoPeephole,13.660
Floyd-Warshall_AArch64NoPeephole,15.494
binarySortTree_AArch64NoPeephole,14.167
linked_list_AArch64NoPeephole,13.751
matrix_AArch64NoPeephole,14.595
Bellman-Ford_AArch64Peephole,14.179
Dijkstra_AArch64Peephole,13.578
Floyd-Warshall_AArch64Peephole,15.064
binarySortTree_AArch64Peephole,14.122
linked_list_AArch64Peephole,13.747
matrix_AArch64Peephole,14.626
